Species	AT2G31240	6733	TC05G003200	6500	6977	TC02G024400	TC09G017950	6570	6447	6483	TC00G083870	7371	TC05G027690	5772	outlier014	6139	6883	4932	TC09G009480	6532	6450	TC02G003180	5406	TC07G000920	5034	6893	TC01G019030	7325	TC07G011130	4951	6034	6954	6631	TC04G030670	7602	4724	6227	TC06G016050	5318	AT3G04880	6320	6407	6363	6565	KT377126.1	TC04G026920	TC00G047210	7628	KT377094.1	TC06G006880	5843	5578	6962	6406	5960	5981	5942	5816	6164	TC09G025650	6797	TC01G032610	6439	5933	NM_179236.3	6420	6875	TC01G021540	AT5G13520	5639	TC03G028600	outlier002	5866	6274	NM_001198514.1	5990	TC04G015820	5354	5945	outlier010	7111	TC01G040040	5918	6430	7363	4890	6448	AT5G50280	AT2G35790	5842	outlier001	outlier011	6004	5926	6064	6265	5427	6492	6865	5328	5163	5469	7028	5343	NM_124699.3	5531	6848	5870	AT3G46610	5464	TC01G019250	5162	6383	6785	7194	5536	6238	7241	5326	AT3G56460	7128	5699	7021	TC05G029300	6780	KT377102.1	6366	6557	7333	AT3G10150	6978	TC09G034320	TC03G025580	5296	4954	6000	6601	TC02G023190	AT1G63680	AT5G64370	5802	AT1G02020	AT4G15420	TC03G023900	AT4G39520	6150	AT5G55960	6507	5220	6552	6460	6792	5841	5821	AT5G08530	AT2G01650	6924	6854	7029	5865	6859	5489	6459	5188	TC03G001430	5980	5138	TC01G005310	TC09G007890	6540	TC01G033670	6130	6270	5599	5449	5032	AT5G13630	AT5G02860	TC02G026940	6098	AT5G13030	TC01G002420	5335	6705	5656	5177	6488	6221	4796	outlier006	7367	outlier013	TC04G028160	4848	6128	6412	5434	6506	6318	7336	5339	6110	5460	5919	6148	6958	KT377086.1	6550	AT5G23940	5064	6641	6860	5941	5644	5791	6914	7024	6882	TC07G000500	AT4G38890	6387	AT3G53700	7135	5936	7141	6782	6299	5702	AT3G24190	4691	AT4G00740	4806	5968	6457	6528	AT3G56940	outlier003	6114	6909	6864	4744	TC04G019470	6036	5366	AT5G40440	TC06G011670	6051	AT1G48520	5123	6378	6679	5913	6494	5454	5116	5206	AT3G59040	TC03G002530	TC05G024510	5426	AT3G02760	6401	5594	5857	AT1G17160	4471	6779	6969	5949	outlier005	6620	6379	5428	5355	6405	6216	TC09G004790	AT1G52310	5421	KT377070.1	4942	5347	6933	5596	7273	TC02G006310	outlier004	TC09G010970	TC02G004290	5849	TC03G012430	6487	TC06G020780	5264	5333	AT3G54690	6393	AT5G13400	6282	6636	6050	TC05G008010	5977	5463	outlier009	5634	6979	5660	6527	6732	7279	6226	AT5G57930	TC02G009310	4889	6048	5348	7572	5703	7577	AT2G35130	6533	6946	NM_148067.4	5733	4992	7331	TC04G030490	6072	TC09G026260	5260	TC08G013000	6198	5271	5554	6531	6947	5273	6667	5859	AJ133743.1	TC05G005750	outlier007	5716	AT4G33945	6913	5893	6119	6791	KT377078.1	6995	TC03G010340	5477	7174	7324	6284	5090	6544	6398	5815	AT3G54090	6825	6056	7136	5398	6175	TC09G026350	5664	6713	4757	5910	7583	6955	5104	AT3G26782	5770	7296	outlier008	6563	4793	4802	AT1G65380	AT2G33630	TC01G007130	KT377118.1	TC05G022880	NM_113708.2	5614	6041	5940	AT5G21070	6538	outlier012	6639	5958	5513
SRR10185784	663	0	537	237	0	651	381	147	0	0	945	0	690	0	0	93	81	282	354	0	0	672	237	384	0	0	0	0	264	0	0	0	0	525	0	192	171	216	69	672	0	0	0	0	144	165	0	0	225	585	0	0	0	0	0	0	309	0	180	681	0	0	99	165	702	153	444	270	825	240	414	168	0	0	0	0	1773	0	72	123	0	459	0	0	0	0	0	912	336	0	0	0	177	0	0	0	0	144	84	102	132	147	0	378	111	0	0	66	900	0	618	150	0	0	0	0	0	0	426	237	108	108	123	522	0	93	0	0	252	249	0	666	438	0	573	132	0	618	1158	0	0	687	438	375	300	0	840	0	72	0	366	234	108	0	1011	723	0	111	0	0	0	0	138	75	693	105	0	465	0	0	393	153	0	0	237	0	630	705	1209	543	546	627	0	0	99	0	0	0	0	0	0	0	621	156	0	0	135	0	0	0	141	342	0	549	0	0	201	225	615	0	186	0	231	210	0	129	0	0	951	336	0	330	96	108	0	108	0	0	357	0	879	0	0	0	177	330	0	0	177	0	0	534	402	69	303	636	279	399	0	0	0	0	129	219	117	192	528	336	597	420	864	0	0	186	465	114	0	0	0	126	87	0	0	0	0	0	522	474	0	114	123	0	0	450	0	222	162	465	615	153	471	189	0	339	0	282	0	573	0	0	0	0	0	162	117	0	0	0	201	0	0	0	570	558	0	0	0	282	0	0	327	117	0	261	0	219	0	453	0	264	0	303	0	0	198	114	0	0	300	162	357	270	0	150	312	150	114	258	0	105	0	345	144	0	69	294	135	156	96	0	270	0	96	162	162	537	390	0	0	69	0	0	0	0	537	0	0	0	276	0	0	417	0	1170	252	342	219	0	117	0	336	0	84	75	162	0
SRR10185785	885	0	537	357	87	504	582	198	0	0	1341	0	564	234	0	93	228	282	351	150	306	369	237	1215	0	0	636	0	363	0	0	288	0	525	105	276	471	216	174	873	141	0	321	0	267	264	0	213	240	1164	0	195	243	0	0	0	309	129	351	681	165	414	99	165	798	153	1098	270	606	243	648	168	0	258	0	132	1197	0	72	126	0	555	96	0	0	0	0	858	336	141	0	159	177	153	0	0	246	144	165	102	228	147	216	423	168	0	150	66	900	0	708	150	0	0	180	0	0	0	282	279	108	195	123	741	102	210	0	0	252	240	153	339	438	0	609	132	141	618	1110	0	258	738	1149	375	492	159	1140	0	81	0	366	234	162	0	1326	894	210	111	285	459	0	0	366	75	750	207	0	516	0	0	750	153	0	0	402	0	609	777	969	693	411	531	0	231	99	0	306	141	0	0	0	0	1029	156	0	0	198	0	99	0	141	321	0	306	213	0	300	267	666	0	414	261	231	210	129	129	0	0	366	342	210	399	96	162	0	108	0	240	654	255	879	111	0	0	291	330	0	0	288	0	0	540	483	138	411	636	279	231	129	189	0	0	129	219	117	192	810	507	1419	336	591	0	231	246	465	183	0	96	0	111	87	72	0	0	0	165	609	564	141	261	123	219	0	618	0	306	162	477	381	222	858	189	336	339	0	471	0	570	249	114	0	0	0	162	120	147	264	0	201	0	0	138	399	453	189	0	0	282	0	0	531	117	0	429	0	732	0	405	0	378	84	363	0	0	240	249	0	114	300	222	654	480	0	162	312	150	114	435	0	105	0	345	144	0	69	438	243	156	108	135	537	249	96	165	303	417	639	213	0	213	306	0	0	0	537	0	0	237	279	0	267	654	0	1170	351	354	267	0	306	162	252	0	84	75	360	0
SRR10185786	870	0	459	456	0	1023	576	222	0	0	1095	0	690	0	0	93	207	282	351	105	183	369	237	546	0	0	126	0	351	0	0	333	0	678	0	276	525	315	69	468	0	0	153	0	216	264	0	222	126	1164	0	177	141	0	0	0	309	0	270	300	75	315	99	165	654	153	585	270	495	237	648	168	0	258	0	81	1374	0	72	120	0	555	96	0	0	0	0	615	336	0	0	159	177	141	0	0	183	144	84	102	228	147	0	423	168	0	180	66	483	0	1272	150	0	0	210	0	0	0	282	237	108	195	123	765	90	204	0	0	252	258	0	438	825	0	348	132	138	618	900	0	126	915	960	375	492	126	1470	0	72	0	366	234	162	0	1269	894	204	111	201	303	0	0	255	75	771	207	0	516	0	0	756	153	0	0	411	120	747	753	1032	630	411	972	0	231	99	0	114	0	0	0	0	0	777	156	0	0	198	0	0	0	141	321	0	306	162	0	300	246	654	0	246	162	231	210	0	129	0	0	519	603	204	570	96	186	0	108	0	240	282	255	639	108	0	0	291	330	0	0	177	0	0	540	483	138	411	636	279	489	129	162	0	0	129	219	117	192	639	336	1419	435	864	0	201	288	465	90	0	0	0	111	87	72	0	0	0	165	609	474	141	261	123	207	0	684	0	378	162	477	381	285	1053	189	159	354	0	594	0	570	111	0	0	0	0	162	114	0	315	0	201	0	0	0	768	324	0	0	0	282	0	0	465	117	0	429	0	855	0	546	0	507	0	762	0	0	213	153	0	117	300	222	654	354	0	162	312	150	114	258	0	105	0	216	144	0	69	399	165	156	108	144	882	156	96	165	303	714	426	132	0	165	270	0	0	0	1083	0	0	237	279	0	291	945	0	927	351	354	219	0	213	0	573	0	84	75	360	0
SRR10185787	1416	0	534	588	0	1023	921	222	0	0	732	0	690	0	0	93	330	282	777	189	432	717	237	888	0	0	126	0	363	0	0	333	0	678	288	273	591	183	174	873	0	0	204	0	267	522	0	0	234	741	0	192	180	0	0	0	309	0	231	681	0	375	420	165	924	153	621	273	660	243	648	168	0	0	0	0	864	0	72	117	0	369	255	0	0	0	0	990	336	0	0	0	666	360	0	0	249	144	165	444	666	147	0	423	168	0	0	66	1407	0	561	150	0	0	0	0	0	0	384	453	111	132	123	1584	90	186	0	0	576	504	276	1305	360	0	540	132	147	690	690	0	261	1143	654	375	429	438	1473	0	81	0	366	234	675	0	1338	1197	441	111	324	660	0	0	471	315	606	207	0	516	0	0	789	153	0	0	411	0	702	459	1209	423	1104	288	0	294	99	0	444	138	0	0	0	0	618	153	0	0	198	0	0	0	141	321	0	549	162	0	297	255	735	0	360	228	231	210	0	129	0	0	540	348	0	300	78	174	0	108	0	240	864	453	876	114	0	0	291	330	0	0	288	0	0	540	1116	69	498	636	279	630	120	201	0	0	129	219	117	186	1047	507	1422	438	459	0	546	288	465	288	171	0	0	93	285	0	0	0	0	228	609	474	144	549	123	150	213	687	0	378	162	477	615	285	1104	189	420	549	0	672	0	813	255	0	0	0	0	171	111	0	495	0	198	0	0	0	1089	303	0	0	0	282	0	0	417	117	0	432	0	198	0	546	0	504	0	759	0	0	240	249	0	0	300	222	978	846	0	162	312	249	114	258	0	105	0	216	144	0	69	741	351	156	189	0	432	0	96	261	303	423	564	0	0	0	363	0	0	0	1083	0	0	207	276	0	453	945	0	1170	270	351	285	0	306	0	540	0	84	75	210	138
SRR10185788	207	0	255	0	0	114	249	84	0	0	204	0	123	0	0	0	0	66	111	0	0	0	69	111	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	78	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	267	0	0	0	87	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	81	0	0	0	90	0	111	0	0	0	0	0	0	0	234	0	0	0	66	228	0	0	0	0	0	81	0	222	219	0	240	0	0	69	204	0	0	231	180	0	171	0	0	0	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	66	0	0	90	0	0	0	0	0	0	0	0	93	180	0	111	0	153	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	72	0	258	78	0	0	0	0	0	261	0	153	0	0	0	0	108	0	0	99	0	0	0	87	0	102	0	102	0	0	0	0	0	0	0	0	72	168	177	0	0	114	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	105	0	0	114	0	0	0	84	0	0	0	105	183	0	234	0	0	87	0	123	0	81	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	162	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	330	0	0	225	63	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	66	108	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	309	0	210	0	0	93	0	0	0	177	0	0	0	0	0
SRR10185789	1416	0	423	333	0	579	582	222	0	0	1095	0	690	180	0	93	99	282	393	102	0	672	234	456	0	0	198	0	216	0	0	216	0	432	0	276	240	216	111	873	0	0	0	0	144	264	0	0	234	1164	0	0	0	0	0	0	309	0	180	681	0	312	99	165	702	153	585	273	516	240	648	168	0	180	0	0	696	0	72	126	0	555	0	0	0	0	0	909	336	0	0	0	177	87	0	0	159	144	84	102	132	147	0	423	168	0	150	66	900	0	708	105	0	0	0	0	0	0	426	237	108	195	123	888	0	210	0	0	252	249	0	429	414	0	423	132	0	618	900	0	0	693	813	375	300	0	1047	0	81	0	366	234	162	0	1242	726	0	111	0	204	0	0	204	75	621	207	0	516	0	0	783	153	0	0	252	0	747	1047	1209	642	546	597	0	0	99	0	114	0	0	0	0	0	1020	156	0	0	198	0	0	0	141	273	0	549	162	0	300	267	723	0	186	162	231	210	0	129	0	0	951	603	0	543	96	144	0	108	0	0	654	237	378	0	0	0	291	330	0	0	288	0	0	540	402	69	312	636	174	615	129	144	0	0	129	219	117	192	420	405	1419	387	834	0	168	114	237	120	0	0	0	0	87	0	0	0	0	0	609	474	0	204	123	126	0	687	0	378	162	477	615	153	474	189	204	354	0	591	0	720	111	0	0	0	0	162	0	0	222	0	201	0	0	0	768	558	0	0	0	282	0	0	384	117	0	303	0	579	0	546	0	507	0	558	0	0	240	153	0	111	300	222	555	327	0	162	312	150	114	258	0	105	0	345	144	0	69	399	0	156	108	126	438	0	96	96	162	540	828	210	0	126	222	0	0	0	579	0	0	237	276	0	0	654	0	927	255	354	252	0	213	0	336	0	84	75	129	0
SRR10185790	1422	0	537	234	0	1023	885	222	0	0	2085	0	510	0	0	93	225	282	804	105	0	855	333	621	0	0	126	0	363	0	0	0	0	513	0	276	330	315	111	900	0	0	0	0	144	264	0	0	246	681	0	0	207	0	0	0	309	0	216	384	75	141	99	165	1038	153	585	273	702	243	648	0	0	0	0	0	927	0	72	123	0	555	96	0	0	0	0	1275	336	0	0	159	318	141	0	0	96	204	84	102	204	147	0	414	168	0	0	66	1014	0	1272	240	0	0	0	0	0	0	426	453	114	192	123	1578	0	210	0	0	252	258	0	666	849	0	573	132	0	411	1416	0	153	1365	1149	363	300	126	1476	0	87	0	354	234	111	0	1245	1344	162	111	0	363	0	0	249	0	756	207	0	516	0	0	783	0	0	0	411	0	2487	897	1209	666	594	633	0	0	99	0	0	0	0	0	0	0	1029	153	0	0	198	0	0	0	141	237	0	549	162	0	300	96	735	0	186	204	231	210	129	129	0	0	900	603	0	543	96	249	0	108	0	0	654	0	678	114	0	0	204	330	0	0	288	0	0	540	528	66	483	627	174	630	117	144	0	0	129	219	117	192	1047	336	1104	435	864	0	174	246	468	120	0	0	0	132	84	0	0	0	0	66	609	945	72	537	123	0	0	687	0	378	162	480	615	153	1089	189	0	705	0	594	0	1386	0	0	0	0	0	168	102	0	165	0	207	0	0	0	645	678	0	0	0	282	0	0	417	243	0	432	0	198	0	300	0	507	0	762	0	0	162	249	0	90	300	219	975	327	0	186	312	150	114	258	0	105	0	345	144	0	69	249	183	153	114	126	447	0	102	102	303	708	825	225	0	174	0	0	0	0	483	0	0	237	279	0	228	945	0	1116	351	354	189	0	213	0	336	0	84	75	129	0
SRR10185791	1416	0	462	282	0	651	564	222	0	0	786	0	690	0	0	93	159	282	411	105	204	855	237	201	0	0	0	0	363	0	0	0	0	525	0	192	168	315	0	720	0	0	210	0	267	258	0	0	240	408	0	0	162	0	0	0	309	0	180	678	0	0	99	165	924	153	645	273	1386	243	591	168	0	0	0	0	507	0	72	117	0	555	96	0	0	0	0	891	336	0	0	0	177	0	0	0	96	144	165	102	228	147	0	423	168	0	0	66	624	0	561	0	0	0	0	0	0	0	426	237	111	132	123	1584	0	210	0	0	252	396	0	666	438	0	306	132	0	618	513	0	0	579	960	375	303	120	990	0	81	0	360	234	297	0	816	975	186	111	0	303	0	0	246	75	606	207	0	297	0	0	777	126	0	0	411	0	1074	579	1095	906	411	624	0	0	99	0	0	99	0	0	0	0	1029	153	159	0	135	0	0	0	141	303	0	549	162	0	300	249	735	0	186	168	231	210	0	129	0	0	483	285	0	240	96	144	0	108	0	0	654	0	303	114	0	0	282	330	0	0	177	0	0	318	399	69	360	636	279	609	120	162	0	0	129	219	117	186	528	336	966	438	444	0	294	255	357	120	0	0	0	93	87	0	0	0	0	165	327	474	144	513	123	0	0	438	0	378	162	477	615	114	456	189	0	339	0	591	0	810	144	0	0	0	0	171	111	0	159	0	201	0	0	0	615	558	0	0	0	282	0	0	531	117	0	429	0	198	0	477	0	504	0	681	0	0	177	171	0	0	300	222	498	372	0	141	312	150	114	258	0	105	0	345	144	0	69	249	153	156	105	0	438	0	96	165	303	312	909	0	0	0	294	0	0	0	786	0	0	216	279	0	129	945	0	1170	339	351	219	0	192	0	336	0	84	0	129	0
SRR10185792	1050	0	534	399	81	1023	801	147	0	0	612	0	690	0	0	93	225	282	423	126	195	855	333	270	0	0	126	0	363	0	0	225	0	678	150	276	246	183	69	579	0	0	210	0	267	264	0	0	240	636	0	0	150	0	0	0	309	0	180	210	75	297	99	165	666	153	1164	273	711	243	543	168	0	0	0	0	1776	0	72	117	0	555	96	0	0	0	0	633	336	0	0	150	390	138	0	0	180	144	165	102	228	147	213	420	168	0	171	66	648	0	561	0	0	0	0	0	0	0	426	237	111	132	123	1584	0	210	0	0	252	507	0	1215	849	0	834	132	159	690	867	0	222	930	945	375	492	126	846	0	81	0	366	234	360	0	1335	1347	207	111	189	426	0	0	270	189	753	207	0	516	0	0	783	153	0	0	360	0	756	1902	858	417	726	972	0	0	99	0	162	90	0	0	0	0	1029	153	195	0	135	0	0	0	141	342	0	549	156	0	300	255	735	0	186	228	231	210	0	129	0	0	483	285	0	309	96	249	0	108	0	240	531	255	597	114	0	0	291	330	0	0	288	0	0	537	483	69	261	636	279	630	120	0	0	0	129	597	117	192	1044	507	981	435	531	0	162	240	465	120	0	0	0	120	483	0	0	0	0	165	609	942	144	534	123	219	0	687	0	378	162	477	615	153	585	192	207	525	0	561	0	1386	135	0	0	0	0	150	111	0	222	0	198	0	0	0	768	306	0	0	0	282	0	198	531	117	0	432	0	198	0	546	0	504	0	762	0	0	240	249	0	0	300	222	537	351	0	162	312	150	114	258	0	105	0	345	144	0	69	399	144	156	105	141	447	0	96	165	303	423	969	132	0	162	0	0	0	0	768	0	0	216	279	0	348	945	0	1170	351	351	219	0	213	0	540	0	81	75	129	138
SRR10185793	582	0	537	246	0	480	471	147	0	0	489	0	369	0	111	93	222	282	363	105	258	855	333	228	0	0	0	0	363	0	0	81	0	390	0	276	486	216	69	591	0	0	0	0	144	264	0	0	240	783	0	0	117	0	0	0	309	0	180	681	75	0	99	165	918	153	555	273	702	243	648	168	0	0	0	0	507	0	72	123	0	555	96	0	0	0	0	846	336	0	0	159	177	153	0	0	96	144	84	102	132	147	0	420	168	0	147	66	600	0	1272	0	0	0	0	0	0	0	426	237	108	195	123	810	0	210	0	0	252	258	0	666	849	0	573	132	0	618	537	0	0	660	654	375	483	126	612	0	72	0	366	234	162	0	750	765	177	111	153	438	0	0	369	0	615	93	0	516	0	0	783	0	0	0	276	0	2568	1269	1209	486	705	456	0	0	99	0	114	102	0	0	0	0	771	153	156	0	198	0	0	0	141	228	0	549	162	0	300	261	642	0	276	186	231	210	0	129	0	0	954	603	198	543	96	174	0	108	0	0	654	192	678	84	0	0	291	330	0	0	177	0	0	435	498	69	207	636	279	630	120	144	0	0	129	162	117	186	639	261	801	435	864	0	0	222	180	120	0	0	0	0	87	0	0	0	0	84	603	474	144	513	123	207	0	687	0	222	162	477	453	153	810	189	192	519	0	591	0	414	111	0	0	0	0	186	111	0	0	0	201	0	0	0	528	558	0	0	0	282	0	0	417	117	0	423	0	198	0	537	0	504	0	561	0	0	240	177	0	0	300	222	978	342	0	162	312	150	114	258	0	105	0	345	144	0	69	399	135	156	105	132	447	0	93	165	162	714	861	0	0	0	186	0	0	0	486	0	0	210	276	0	135	417	0	357	351	351	174	0	213	0	336	0	81	75	129	0
SRR10185794	846	0	534	249	0	480	957	222	0	0	864	0	459	0	0	93	159	282	363	114	282	855	333	270	0	0	126	0	363	0	0	228	0	525	150	276	591	315	111	552	0	0	123	0	267	264	0	0	240	543	0	177	153	0	0	0	309	0	180	681	75	327	99	165	924	153	585	273	522	243	648	168	0	0	0	0	966	0	72	120	0	555	132	0	0	0	0	600	336	0	0	159	177	138	0	0	96	144	165	102	228	147	0	420	168	0	135	66	825	0	720	0	0	0	0	0	0	0	393	237	108	132	123	807	0	210	0	0	252	279	159	675	429	0	573	132	0	618	537	0	126	591	336	294	492	126	1161	0	81	0	366	234	264	0	1335	768	204	111	153	435	0	0	372	189	570	207	0	516	0	0	783	153	0	0	411	0	903	573	1209	969	705	966	0	0	99	0	132	126	0	0	0	0	1029	153	0	0	135	0	0	0	141	279	0	549	216	0	300	261	735	0	186	168	231	210	0	129	0	0	624	603	0	366	96	108	0	108	0	153	654	0	678	0	0	0	291	330	0	0	177	0	0	540	498	69	303	636	279	630	120	162	0	0	129	219	117	192	420	336	732	435	864	0	375	228	465	144	0	0	0	0	87	0	0	0	0	84	609	945	144	549	123	219	0	687	0	366	162	312	615	114	1137	189	186	447	0	591	0	579	111	0	0	0	0	186	111	0	192	0	201	0	0	0	768	558	0	0	0	282	0	0	531	117	0	297	0	198	0	543	0	504	0	762	0	0	240	153	0	90	294	222	978	453	0	162	312	150	114	258	0	105	0	195	144	0	69	246	135	156	105	141	447	0	96	165	300	423	969	0	0	177	258	0	0	0	534	0	0	207	279	0	72	669	0	591	351	351	219	0	213	0	540	0	81	75	129	117
SRR10185795	480	0	516	333	0	603	444	222	0	0	891	0	501	105	111	93	177	282	363	105	306	561	234	858	0	0	0	0	363	0	0	159	0	525	189	276	591	315	69	666	0	0	126	0	267	264	0	0	240	543	0	159	183	0	0	0	309	0	180	627	75	330	99	165	948	153	585	273	570	243	648	168	0	159	0	0	507	0	72	117	0	555	96	0	0	0	102	780	336	0	0	0	177	138	0	0	129	144	84	102	210	147	0	420	168	0	162	66	612	0	774	0	0	0	0	0	0	0	426	237	111	132	123	810	0	210	0	0	252	504	240	666	849	0	450	132	0	618	537	0	126	336	603	375	492	126	972	0	81	0	366	234	162	126	1335	762	234	111	153	396	0	126	327	135	618	105	0	345	0	0	789	159	0	0	276	0	903	465	1209	645	411	678	0	0	99	0	114	129	0	0	0	0	1029	153	0	0	135	0	0	0	141	315	0	549	192	0	300	249	672	0	387	186	231	210	0	129	0	0	888	303	216	540	96	129	0	108	0	156	654	255	879	0	0	0	291	330	0	0	177	0	0	540	498	69	417	636	279	630	120	144	0	0	129	219	117	192	519	507	732	435	864	0	285	261	222	120	114	0	0	120	87	0	0	0	0	165	603	945	144	540	123	219	0	399	0	378	162	477	603	114	1137	189	267	339	0	591	0	387	111	0	0	0	0	171	108	0	189	0	201	0	0	0	432	558	0	0	0	282	0	153	420	117	0	423	0	198	0	546	0	333	0	561	0	0	240	249	0	90	300	222	978	642	0	162	312	249	114	258	0	105	0	150	144	0	69	249	189	156	108	141	447	0	96	165	303	387	804	114	0	0	243	0	0	0	534	0	0	138	279	0	348	669	0	750	351	351	261	0	213	0	540	0	84	75	129	0
SRR10185796	471	0	534	165	0	546	1308	147	0	0	894	0	363	0	0	93	99	282	261	0	0	645	228	171	0	0	126	0	186	0	0	0	0	174	0	276	168	183	0	378	0	0	0	0	141	192	0	0	240	1164	0	0	0	0	0	0	309	0	165	633	0	153	99	165	702	153	498	198	1086	243	357	168	0	0	0	0	507	0	72	117	0	141	96	0	0	0	0	585	336	0	0	0	219	0	0	0	96	144	84	102	132	147	0	219	111	0	0	66	441	0	633	0	0	0	0	0	0	0	426	237	111	132	123	888	0	210	0	0	135	249	0	666	438	0	300	132	0	636	534	0	126	612	411	375	300	0	771	0	72	0	363	123	108	0	1335	546	0	111	0	405	0	0	210	189	669	207	0	516	0	0	429	153	0	0	411	0	567	1035	1104	228	408	444	0	0	0	0	111	102	0	0	0	0	612	153	156	0	135	0	0	0	141	306	0	537	0	0	300	198	735	0	186	0	138	180	0	129	0	0	483	411	0	543	96	108	0	108	0	0	282	0	486	0	0	0	291	177	0	0	177	0	0	540	498	69	207	579	174	600	0	0	0	0	129	162	117	144	528	336	510	378	864	0	105	174	465	0	0	0	0	120	87	0	0	0	0	84	603	474	0	138	123	0	0	438	0	222	162	477	615	153	1005	165	0	549	0	582	0	519	111	0	0	0	0	171	0	0	159	0	189	0	0	0	768	558	0	0	0	282	0	0	315	243	0	300	0	99	0	414	0	504	0	402	0	0	102	153	0	114	300	210	495	228	0	162	312	150	114	186	0	105	0	198	0	0	69	249	0	156	105	0	324	0	96	96	162	540	417	0	0	0	111	0	0	0	1083	0	0	123	144	0	0	924	0	1170	282	351	141	0	117	0	222	0	84	0	129	126
SRR10185797	465	0	537	429	81	1023	429	147	0	0	894	0	690	0	111	93	99	282	423	105	213	399	237	249	0	0	126	0	354	0	0	213	0	510	150	276	246	183	69	720	0	0	150	0	144	264	0	0	129	753	0	177	177	0	0	0	309	0	180	495	75	276	99	165	360	153	462	273	468	243	591	168	0	150	0	0	507	0	72	117	0	555	138	0	0	0	0	657	336	0	0	135	366	138	0	0	159	144	120	102	132	147	0	423	168	0	174	66	441	0	840	0	0	0	0	0	0	0	426	237	111	132	123	888	0	210	0	0	252	258	159	669	327	0	387	132	138	288	534	0	0	1020	714	375	300	126	876	0	81	0	366	234	162	0	1275	1044	174	111	201	294	0	0	231	189	348	207	0	516	0	0	783	153	0	0	411	0	567	588	1074	273	393	813	0	0	99	0	114	132	0	0	0	0	459	153	141	0	198	81	0	0	141	309	0	336	162	0	300	96	735	0	186	186	231	210	0	129	0	0	666	591	183	543	96	162	0	108	0	156	654	219	405	84	0	0	291	285	0	0	177	0	0	540	366	69	159	636	249	630	120	0	0	144	129	219	117	174	522	339	1110	438	438	0	327	177	357	120	0	0	0	120	87	0	0	0	0	84	603	945	144	297	123	204	0	417	0	378	162	477	615	153	735	189	0	549	0	522	0	519	195	0	0	0	0	171	0	114	228	0	201	0	0	135	372	159	0	0	0	282	0	0	462	117	0	429	0	198	0	546	0	504	99	363	0	0	240	249	0	0	216	222	978	456	0	186	312	150	114	258	0	105	0	195	144	0	69	414	135	156	108	123	447	147	96	165	300	534	372	0	0	177	348	0	0	0	1089	0	0	201	279	0	192	804	0	1170	351	351	258	0	213	0	336	0	84	75	129	138
SRR10185798	1416	0	534	786	0	1023	918	222	0	0	1158	0	690	0	0	93	483	282	1065	219	378	717	237	1290	0	0	126	0	363	0	0	549	0	396	318	276	285	495	252	873	141	0	291	0	267	1137	0	0	240	741	0	201	300	0	0	0	309	0	351	600	198	363	420	165	924	153	621	273	660	243	648	168	0	0	0	0	507	0	72	123	0	555	315	0	0	0	0	537	336	0	0	0	864	318	0	0	435	144	165	441	639	147	0	420	168	0	0	66	1407	0	633	144	0	0	0	0	0	0	396	453	111	132	123	1584	0	210	0	0	723	759	360	789	414	0	573	132	255	468	423	0	261	1479	1149	375	345	366	1470	0	81	0	366	234	540	0	1155	1347	447	111	336	786	0	0	753	189	756	207	0	516	0	0	783	153	0	0	411	0	1035	921	1092	441	1104	552	0	294	99	0	477	486	0	0	0	0	480	153	102	0	198	0	0	0	141	321	0	393	222	0	300	261	735	0	567	285	231	210	129	129	0	0	483	486	573	300	96	174	0	108	0	336	864	465	876	114	0	0	291	330	0	0	288	0	0	540	1266	69	303	636	279	630	120	285	0	0	129	219	117	189	639	504	1422	438	732	0	594	288	273	291	0	0	0	93	519	0	0	0	0	378	609	474	144	318	123	219	426	687	0	378	162	477	615	285	1137	189	882	549	0	546	0	1386	270	0	0	0	0	171	111	0	789	0	198	0	0	0	423	558	0	0	0	279	0	198	858	117	0	432	0	198	0	333	0	504	0	537	0	0	240	249	141	114	294	222	978	795	0	162	312	249	114	435	0	105	0	345	144	0	639	399	267	156	189	153	777	0	96	165	303	423	969	132	0	177	363	0	0	0	1083	0	0	207	243	180	228	945	0	1020	270	351	342	552	213	156	336	0	81	75	210	138
