Species	AT3G59040	5434	6450	KT377126.1	4724	5138	6882	TC00G047210	7296	5849	6447	4793	5064	TC06G020780	5449	5634	4890	6506	7333	5536	5614	5968	AT3G56460	TC05G022880	6875	TC09G007890	5206	5664	5421	5460	5656	AT2G35790	AT1G48520	6854	5936	AT5G21070	AT5G57930	6550	5703	7367	6601	6705	6226	5815	6114	6265	AT5G13630	7174	6791	6412	5843	TC02G003400	7273	6483	6792	6072	4757	6238	6848	TC03G002530	5273	5318	5513	AT3G53700	TC03G028600	4806	5469	6282	5427	TC02G003180	6893	4802	6636	4796	5339	5981	5355	6130	7029	5926	TC01G040040	7602	5220	5699	5644	5596	AT3G26782	5941	6978	6387	TC04G028160	6378	AT3G56940	TC04G015820	6110	5933	6914	5260	5489	TC03G023900	5428	5802	6320	7583	AT3G04880	6492	6494	TC09G010970	6366	TC09G026260	AT3G46610	6041	NM_148067.4	AT5G06830	AT4G15420	4932	6379	5945	5454	TC02G026940	6459	6420	7128	AT2G43030	TC04G019470	TC01G019250	6979	AT5G50280	AT5G13030	6050	6407	5531	TC04G030490	TC03G025580	5090	TC07G000500	TC09G004790	6865	7324	6363	5296	6797	7279	6164	6270	6532	AT5G60590	AT5G02860	5463	6128	TC00G083870	TC06G016050	6909	5949	7572	5940	7141	7135	6488	AT1G63680	6439	4848	5123	TC01G019030	6732	AT2G01650	5328	AT1G65380	5716	6733	6825	AT4G38890	6785	NM_113708.2	5333	6667	5859	5264	TC02G006310	6557	TC05G024510	TC01G002420	TC04G006100	TC01G021540	6398	6119	AT4G33945	TC05G029300	6406	KT377078.1	5913	5702	5032	5188	AT1G02020	4942	TC09G017950	7136	6460	5104	5919	5960	5177	6064	KT377086.1	6004	6552	6954	6540	5866	7628	6430	AT2G33630	AJ133743.1	5990	6448	AT4G00740	KT377110.1	AT1G31780	6527	6198	6507	6782	5842	6913	AT2G31240	TC04G026920	6056	TC09G034320	6955	AT3G02760	4691	4471	AT1G17160	6969	6977	5366	6924	5918	5578	6947	TC05G008010	6051	6779	TC09G025650	5554	7331	6383	6148	7336	NM_179236.3	KT377118.1	TC02G004290	5343	KT377094.1	5816	6000	5347	5116	5733	6048	AT5G55960	5980	6401	TC03G001430	6457	6405	6544	6393	AT3G54690	5326	AT2G44660	5821	6962	6500	AT5G13520	5398	TC01G032610	7325	6533	6150	6318	TC02G023190	KT377102.1	5791	TC02G009310	AT3G10150	6036	AT2G35130	AT5G23940	5477	6933	6221	5639	6563	TC09G026350	6538	6034	7194	7371	TC05G005750	5335	TC09G009480	6531	6274	6946	5354	TC03G012430	6883	AT5G64370	7577	4951	6641	TC08G013000	TC06G006880	5977	4889	4744	6620	TC02G024400	AT3G54090	5958	5772	5893	6631	5034	5942	6565	NM_001198514.1	7241	TC07G011130	7111	6639	5163	6860	6958	5594	5271	5660	6216	AT5G67530	NM_124699.3	5770	7363	7024	TC05G003200	TC07G000920	AT1G52310	6227	AT3G24190	6299	6528	AT5G13400	5348	7021	5841	TC03G010340	5599	7028	TC01G033670	TC01G005310	5406	5464	KT377070.1	6995	TC04G030670	TC06G011670	6780	6713	5426	AT5G08530	6864	5162	5910	TC05G027690	5865	4992	6487	6139	6859	AT5G40440	AT4G39520	TC01G007130	6679
SRR10185792	630	144	0	492	282	0	0	0	0	171	0	0	0	0	402	0	0	0	258	0	0	0	267	381	120	708	378	0	153	0	78	336	657	114	387	513	828	168	0	0	0	93	0	198	0	0	1137	0	0	0	0	648	0	0	375	0	0	0	0	270	0	0	0	426	435	114	363	108	117	378	0	162	0	0	231	0	0	153	141	0	321	0	141	99	420	375	825	273	0	0	1020	0	300	2019	213	189	138	0	0	492	0	0	0	0	576	285	129	342	0	558	618	306	486	522	1026	363	0	129	321	726	207	207	177	0	549	573	0	633	942	0	0	0	540	549	0	486	789	165	90	0	0	0	0	180	0	0	189	492	312	0	609	183	309	0	288	0	0	153	0	1221	201	162	0	126	0	1473	159	1137	159	0	0	579	0	225	0	423	222	207	615	0	1047	996	705	288	186	270	654	1788	0	189	0	0	0	0	1551	183	798	318	384	0	618	0	0	0	693	177	0	0	0	0	0	0	672	654	0	153	720	153	693	234	0	0	111	0	267	981	267	309	819	0	723	0	0	774	0	81	96	165	0	0	0	1887	267	0	486	240	0	0	0	0	663	543	720	432	357	0	270	0	210	0	0	1188	246	0	1044	0	0	267	0	603	519	405	0	0	0	606	291	0	0	126	0	171	789	438	0	633	354	591	516	975	216	0	0	345	315	1005	0	0	0	0	249	0	531	429	69	0	0	585	96	321	0	0	0	951	639	0	0	0	156	1332	525	129	0	117	0	120	333	0	729	0	423	0	102	318	0	0	0	0	0	0	609	225	0	0	0	540	393	1122	342	591	0	453	798	0	153	201	477	0	0	795	747	423	0	594	0	705	663	0	0	456	1458	0	183	0	825	261	267	180	129	0	696	837	1197	87
SRR10185793	918	207	0	219	282	0	0	0	0	171	0	0	0	132	402	0	0	0	258	0	0	0	267	369	120	804	369	0	156	0	117	336	657	114	234	510	585	168	0	0	0	90	0	198	0	0	3240	0	0	0	0	681	0	0	375	0	0	0	0	243	0	108	0	570	960	84	360	108	141	903	0	162	0	0	231	0	0	0	141	111	408	0	141	180	375	687	543	273	0	180	1020	0	300	507	198	189	138	0	0	441	0	0	0	0	663	285	129	765	0	594	603	306	366	459	687	333	0	129	321	1680	0	207	111	0	432	756	0	855	675	0	0	0	438	438	0	924	744	159	90	0	0	0	0	180	0	0	189	1269	312	0	534	318	309	0	288	0	0	153	0	537	201	165	0	0	0	789	219	729	159	0	0	393	0	144	0	423	222	207	525	0	600	453	753	282	168	240	570	903	0	192	0	0	0	0	660	183	468	318	378	0	618	0	0	0	669	177	0	0	0	0	0	0	501	1236	0	162	918	234	489	237	0	0	111	0	222	681	267	306	1596	0	480	0	120	510	0	0	129	0	0	0	0	1086	267	0	768	243	0	0	0	0	927	549	711	432	357	0	258	162	210	0	0	591	156	0	645	0	0	267	0	642	522	255	0	0	0	729	156	0	0	126	0	171	735	426	0	633	357	504	504	978	222	0	0	345	348	1011	0	0	0	0	252	0	471	405	72	0	0	810	96	402	0	0	0	759	690	0	0	0	150	483	486	129	0	117	0	0	333	0	624	0	423	0	102	216	0	0	0	0	0	0	486	225	0	0	0	606	165	828	342	1059	0	420	798	0	156	201	477	0	0	777	750	219	0	549	0	495	663	0	0	456	741	0	0	0	516	387	267	177	129	0	417	840	849	87
SRR10185794	468	144	0	492	282	0	0	0	0	171	0	0	0	177	402	0	90	0	258	0	0	0	258	381	120	1404	372	0	156	0	117	336	597	111	408	513	492	168	0	0	0	93	0	198	0	0	894	0	0	0	0	702	0	0	375	0	0	0	0	630	0	0	0	477	867	0	225	111	141	903	0	162	0	0	231	0	0	153	141	0	786	0	141	99	375	687	540	387	0	0	1020	150	300	963	189	189	138	0	0	492	0	0	0	0	597	285	129	444	0	594	798	306	369	504	429	363	0	129	321	1170	0	207	162	0	549	756	0	600	552	0	0	0	432	438	0	924	789	291	90	0	0	0	0	180	0	0	141	921	261	0	1032	213	210	0	288	0	0	153	0	537	201	162	0	126	0	792	219	729	159	0	0	723	0	456	0	423	222	207	609	0	735	990	750	279	177	240	480	900	0	192	0	0	0	0	633	183	465	279	384	0	618	0	0	0	681	177	0	0	0	0	0	0	414	1236	0	162	675	234	519	237	0	0	111	0	267	1065	267	309	867	0	873	0	120	351	0	0	129	0	0	0	0	723	267	0	480	243	0	0	0	0	927	522	690	432	357	0	270	186	210	0	0	735	246	0	630	0	0	267	0	684	255	255	0	0	0	612	291	0	0	126	0	171	729	426	0	633	357	504	552	906	405	0	126	345	354	1008	0	0	0	0	147	0	471	435	75	0	0	1200	96	312	0	0	0	759	543	0	0	0	156	819	486	129	0	117	0	0	333	0	585	0	327	0	120	318	0	0	0	0	0	0	525	225	0	0	0	606	339	669	342	594	0	453	636	0	156	201	243	0	0	789	753	423	0	597	0	675	663	0	0	456	1512	0	171	0	825	282	267	180	129	0	417	855	1179	0
SRR10185795	525	141	0	489	282	0	0	0	0	171	0	0	0	258	261	0	0	0	258	0	0	0	267	384	111	1428	351	0	156	0	117	336	648	114	321	513	585	216	0	0	0	93	0	156	0	0	894	0	0	0	0	711	0	0	375	0	0	0	0	462	0	114	0	567	957	0	360	108	141	561	0	162	0	0	231	0	0	159	141	111	786	0	222	99	420	687	543	273	0	0	1020	0	300	507	270	189	138	0	0	492	0	0	0	0	696	285	129	741	0	594	615	222	486	450	687	363	0	129	321	1734	0	204	177	0	549	1320	0	780	603	0	0	0	540	852	0	924	789	309	90	0	0	0	0	180	0	0	0	465	261	0	675	318	210	0	288	0	0	159	0	675	201	159	0	0	0	789	159	729	159	0	0	903	0	225	0	405	222	207	633	0	735	675	411	282	177	240	546	903	0	237	0	0	0	0	768	183	441	318	384	0	618	0	0	0	678	177	0	0	0	0	0	0	834	1224	0	0	675	234	639	237	0	0	111	0	258	513	267	309	963	0	873	0	120	351	0	0	96	0	0	0	0	1176	267	0	768	243	0	0	0	0	1032	456	609	432	357	0	270	0	210	0	0	963	300	0	660	0	0	267	0	657	522	405	0	0	0	657	291	0	0	126	0	171	483	303	0	633	534	261	510	864	396	0	129	342	324	996	0	0	0	0	147	0	471	432	120	0	0	1200	93	312	0	0	0	951	528	0	0	0	156	687	486	129	105	117	0	120	333	0	627	0	423	0	120	297	0	0	0	0	0	0	483	225	0	0	0	585	426	1122	342	1062	0	420	357	0	156	201	228	0	0	849	750	384	0	588	0	675	663	0	0	456	1512	0	0	0	633	294	267	180	129	0	852	819	777	87
SRR10185796	381	144	0	207	282	0	0	0	0	171	0	0	0	0	402	0	0	0	186	0	0	0	267	324	120	1092	366	0	156	0	117	336	594	114	174	369	828	168	0	0	0	93	0	156	0	0	1020	0	0	0	0	495	0	0	375	0	0	0	0	462	0	0	132	570	426	0	276	0	120	648	0	162	0	0	231	0	0	153	0	0	246	0	141	99	378	462	1143	150	0	0	291	0	300	654	0	99	138	0	0	435	0	0	0	0	381	285	129	741	0	588	414	180	369	612	411	363	0	129	219	1011	0	207	111	0	552	633	0	585	549	0	0	0	378	438	0	486	537	165	141	0	0	0	0	162	0	0	90	1035	261	0	837	318	198	0	288	0	0	120	0	585	111	162	0	126	0	543	159	789	129	0	0	498	0	129	0	423	201	207	285	0	903	444	303	300	183	225	483	1044	0	183	0	0	0	0	684	183	717	135	369	0	606	0	0	0	474	177	0	0	0	0	0	0	921	567	0	0	498	234	291	204	0	0	111	0	267	414	168	285	309	0	873	0	0	600	0	0	96	0	0	0	0	951	267	0	432	108	0	0	0	0	771	540	675	219	357	0	270	0	189	0	0	450	120	0	990	0	0	231	0	591	510	225	0	0	0	657	156	0	0	126	0	171	693	438	0	432	264	387	414	942	189	0	0	345	222	999	0	0	0	0	219	0	387	234	69	0	0	1065	81	309	0	0	0	321	1065	0	0	0	156	825	483	129	0	117	0	120	132	0	744	0	189	0	102	219	0	0	0	0	0	0	876	123	0	0	0	540	267	663	342	930	0	453	702	0	156	99	477	0	0	546	744	219	0	543	0	456	594	0	0	345	1512	0	0	0	384	231	264	174	129	0	411	399	840	0
SRR10185797	684	249	0	225	282	0	0	0	0	171	0	0	0	0	318	0	0	0	258	0	0	0	267	381	120	984	366	0	156	0	117	336	657	114	234	384	585	159	0	0	0	93	0	198	0	0	897	0	0	0	0	702	0	0	375	0	0	0	0	465	0	0	0	720	786	84	192	108	120	399	0	162	0	0	231	0	0	153	141	111	423	0	225	99	378	687	993	387	0	0	447	0	300	684	201	189	138	99	0	492	0	0	0	0	789	285	129	342	0	306	414	306	483	549	807	363	0	129	321	1365	0	204	177	0	552	852	0	510	468	0	0	0	540	414	0	486	789	180	141	0	0	0	0	180	0	0	138	741	312	0	1086	183	213	0	288	0	0	159	0	594	201	162	0	126	0	1143	216	1137	159	0	0	711	0	222	0	297	222	207	615	0	909	996	351	282	183	240	351	1806	0	189	0	0	0	0	753	183	432	252	378	0	618	0	0	0	693	177	0	0	0	0	0	0	501	1218	0	138	453	141	426	225	0	0	111	0	267	690	267	258	774	0	780	0	0	471	0	0	96	0	0	0	0	1575	183	0	492	243	0	0	0	0	438	543	720	432	246	0	270	0	210	0	0	774	276	0	345	0	0	267	0	537	525	252	0	0	0	522	156	0	0	126	0	171	333	312	0	234	354	504	711	963	165	0	132	345	357	657	0	0	0	0	252	0	447	432	69	0	0	735	96	309	0	0	0	390	756	0	0	0	156	1254	486	129	0	117	0	120	333	0	558	0	423	0	102	219	0	0	0	0	0	0	867	225	0	0	0	540	387	324	342	621	0	417	669	0	156	201	243	0	0	789	747	219	0	543	0	675	663	0	0	456	1557	0	0	0	825	282	267	180	129	0	411	336	435	0
SRR10185798	1422	249	0	489	282	0	0	0	0	171	0	0	0	330	402	0	0	0	258	0	0	0	852	381	120	1443	372	0	156	0	117	336	744	84	360	381	477	168	0	0	0	93	0	198	0	0	1413	0	0	0	0	897	0	0	375	0	0	0	0	630	0	0	0	426	960	114	357	189	120	717	0	162	0	0	231	0	0	153	141	0	786	135	225	99	336	687	1143	387	0	327	480	150	300	507	300	189	138	0	0	492	0	0	0	0	987	285	129	765	0	594	1365	303	486	501	1350	363	0	129	321	1365	0	204	177	0	552	669	0	501	1629	0	0	0	327	414	0	486	789	309	141	0	0	0	0	180	0	0	0	921	312	0	1365	207	309	0	288	0	0	159	0	597	201	162	0	126	0	1473	228	1137	159	0	0	597	0	453	0	405	222	207	600	0	1533	582	477	279	186	240	570	1800	0	189	0	0	0	174	1551	183	912	321	384	0	390	0	0	0	687	177	0	186	0	0	0	0	1467	1224	0	0	894	234	435	222	0	0	111	0	360	1593	267	309	1047	0	1515	369	0	351	0	0	96	0	0	0	210	1887	267	0	585	243	0	0	0	0	927	543	720	432	357	0	270	0	210	0	0	1404	276	0	1056	0	0	267	0	675	519	405	0	0	0	786	291	0	0	126	0	171	528	426	0	633	876	774	747	975	222	0	138	345	264	1005	0	0	0	0	249	0	1272	432	0	0	0	1200	189	315	0	0	0	582	471	0	0	0	156	1326	987	129	0	117	0	93	333	0	480	0	423	0	108	318	0	0	0	0	0	0	867	225	0	0	0	609	411	621	282	1365	0	435	1590	0	153	201	480	0	0	792	750	333	0	597	0	831	672	0	0	456	1161	0	183	336	825	435	267	180	129	0	849	372	1020	0
SRR10185799	1425	249	0	489	282	0	0	0	0	171	0	0	0	174	402	0	0	0	258	0	0	0	261	387	117	1443	372	0	156	0	117	336	657	114	495	513	828	168	0	0	0	90	0	207	0	0	3801	0	0	0	0	699	0	0	375	0	0	0	0	633	0	78	0	570	966	0	366	108	120	903	0	162	0	0	231	0	0	153	141	0	783	0	225	198	420	687	1164	387	0	0	1020	159	300	2031	261	189	138	0	0	492	0	0	0	0	882	285	129	744	0	591	1380	303	447	1062	1041	363	0	129	321	1752	207	207	171	0	549	1320	0	1347	1074	0	0	0	540	438	0	924	813	159	141	0	0	0	0	180	0	0	0	2103	303	0	2364	318	309	0	288	0	0	156	0	1812	201	159	0	126	0	1494	159	987	159	0	0	804	0	432	0	423	222	207	633	0	900	996	1227	282	186	240	390	417	0	192	0	0	0	0	1554	183	1485	321	378	0	618	0	0	0	693	177	0	0	0	0	0	0	1485	717	0	0	891	234	1011	237	0	0	111	0	321	1620	264	309	1713	0	873	276	0	765	0	81	96	0	0	0	0	1887	267	0	768	243	0	0	0	0	1770	543	720	432	351	0	270	0	210	0	0	1455	216	0	1047	0	0	267	0	705	522	405	0	0	0	1689	291	0	0	126	0	171	735	423	0	633	534	504	507	981	456	0	132	345	366	996	0	0	0	0	252	0	900	411	120	0	0	1200	90	819	0	0	0	954	1395	0	0	0	156	984	525	0	0	117	0	129	333	147	2271	0	327	0	102	318	0	0	0	0	0	0	912	225	0	0	0	543	414	633	654	1056	0	453	1590	0	156	201	477	0	0	852	750	408	0	546	0	831	663	0	0	456	1593	0	0	0	825	303	267	180	129	0	819	837	1197	87
SRR10185800	561	207	0	489	207	0	0	0	0	171	0	0	0	252	402	0	0	138	258	0	0	0	261	387	117	1443	372	0	156	0	117	336	657	114	399	216	828	144	0	0	0	90	0	198	0	0	3795	0	0	0	0	1470	0	0	375	0	0	0	0	549	0	0	0	225	531	0	366	108	120	498	0	162	0	0	231	0	0	153	141	0	309	0	225	198	378	687	591	387	0	0	354	159	300	2031	270	189	138	0	0	492	0	0	0	0	681	285	129	363	0	588	1380	303	495	1062	357	363	0	129	165	1752	207	207	171	0	357	1314	0	492	1074	0	0	0	540	438	168	600	651	159	141	0	0	0	0	291	0	0	0	522	303	0	2364	318	309	0	288	0	0	147	0	1029	201	159	0	126	0	732	231	408	162	0	0	234	0	432	0	219	222	207	633	0	1530	996	609	282	186	240	207	900	0	192	0	0	0	0	1551	183	480	297	378	0	618	0	0	0	693	177	0	0	0	0	0	0	1449	570	0	0	1350	234	1011	237	0	0	111	0	219	576	264	309	1608	0	2082	0	120	765	0	81	96	0	0	0	0	1887	267	0	381	243	0	0	0	0	582	543	720	411	351	0	270	0	210	0	0	726	216	0	1047	0	0	267	0	708	522	399	0	0	0	576	291	0	0	126	0	171	360	432	0	288	408	591	507	981	222	0	132	297	357	450	0	0	0	0	252	0	510	411	120	0	0	393	90	390	0	0	0	951	555	0	0	0	156	837	990	129	0	117	0	129	333	147	2280	0	240	0	102	318	0	0	0	0	0	0	912	225	0	0	0	543	399	180	342	1368	0	453	891	0	126	201	477	0	0	765	753	408	0	546	0	675	663	0	0	456	549	0	0	0	237	303	267	180	129	0	384	231	1185	87
SRR10185801	1425	249	0	489	282	0	0	0	0	171	0	0	0	234	402	0	0	135	258	0	0	0	261	384	117	1443	372	0	156	0	117	336	657	114	681	513	828	168	0	0	0	90	0	198	0	0	3795	0	0	0	0	699	0	0	375	0	0	0	0	633	0	78	0	570	963	0	366	186	123	903	0	162	0	0	231	0	0	153	141	0	786	0	141	198	378	687	1164	387	0	0	1020	0	300	2031	294	189	138	0	0	492	0	0	0	0	612	285	129	744	0	588	1380	303	462	1062	1041	363	0	129	321	1752	207	207	171	0	549	1320	0	1347	1074	0	0	0	540	438	162	924	813	162	141	0	0	0	0	207	0	0	0	2103	303	0	2364	318	309	0	288	0	0	147	0	1812	201	159	0	126	0	714	231	1134	162	0	0	804	0	432	0	423	222	207	633	0	1518	702	741	282	186	240	285	1815	0	192	0	0	0	0	1551	183	1485	297	378	0	618	0	0	0	693	177	0	0	0	0	0	0	1482	1224	0	0	1350	234	1011	237	0	0	111	0	219	1587	264	309	1683	0	873	0	120	765	0	81	96	0	0	0	0	1887	267	0	768	243	0	0	0	0	1770	543	720	432	351	0	270	0	210	0	0	1455	216	0	1047	0	0	267	0	708	522	405	0	0	0	1689	291	0	0	126	0	171	444	423	0	633	534	591	507	981	405	0	138	297	372	993	0	0	0	0	252	0	900	231	120	0	0	1200	90	819	0	0	0	951	1395	0	0	0	156	1296	525	129	0	117	0	129	333	147	1191	0	423	0	102	318	0	0	0	0	0	0	912	225	0	0	0	543	399	1086	690	1062	0	453	1590	0	156	201	477	0	0	795	753	207	0	546	0	831	663	0	0	456	1617	0	0	0	825	303	267	180	129	0	435	837	1197	87
SRR10185802	1101	141	0	234	282	0	0	0	0	168	0	0	0	0	402	0	0	0	258	0	0	0	261	387	117	1443	372	0	156	0	117	336	657	114	204	375	828	168	0	0	0	90	0	198	0	0	3804	0	0	0	0	654	0	0	372	0	0	0	0	633	0	78	0	570	915	114	231	108	120	903	0	162	0	0	231	0	0	153	141	0	786	0	222	198	378	687	1164	273	0	0	1020	135	300	1362	249	189	138	0	0	492	0	0	0	0	912	285	129	741	0	558	1380	303	375	954	258	363	0	129	321	1743	204	207	111	0	456	564	0	1347	417	0	0	0	429	438	168	924	813	159	141	0	0	0	0	180	0	0	0	2103	309	0	2361	312	210	0	288	0	0	147	0	1827	201	159	0	126	0	1206	159	483	162	0	0	720	0	225	0	423	222	207	633	0	1530	996	741	282	186	240	537	408	0	150	0	0	0	75	1554	183	1485	321	378	0	618	0	0	0	681	177	0	0	0	0	0	0	1482	1218	0	150	543	102	639	237	0	0	111	0	219	1593	267	285	879	0	873	0	0	765	0	0	96	0	0	0	0	1887	267	0	234	243	0	0	0	0	1770	408	699	432	357	0	270	0	210	0	0	1458	267	0	1062	0	0	267	0	696	522	405	0	0	0	1539	153	0	0	126	0	171	735	411	0	303	300	504	504	966	405	0	0	225	231	600	0	0	0	0	252	0	900	234	120	0	0	1200	90	456	0	0	0	954	1383	0	0	0	156	486	525	129	0	117	0	132	333	147	1173	0	423	0	102	318	0	0	0	0	0	0	909	225	0	0	0	543	165	354	342	1059	0	462	1590	0	156	201	474	0	0	795	753	207	0	543	0	675	663	0	0	456	1587	0	0	0	825	285	267	180	129	0	384	405	1197	0
SRR10185803	1191	249	0	489	282	0	0	0	0	171	0	0	0	0	402	0	0	0	258	0	0	0	261	387	117	1443	366	0	156	0	117	336	657	114	564	501	828	168	0	0	0	90	0	198	0	0	3804	0	0	0	0	684	0	0	372	0	0	0	0	633	0	78	0	570	963	114	366	108	123	903	0	162	0	0	231	0	0	153	141	0	786	0	222	198	420	687	1164	273	0	0	1020	132	300	2019	252	189	138	0	0	492	0	0	0	0	879	285	129	741	0	558	1380	303	495	1062	1023	363	0	129	321	1743	204	207	162	0	549	1320	0	1347	1074	0	0	0	540	414	0	924	813	159	141	0	0	0	0	180	0	0	189	975	309	0	2361	312	309	0	288	0	0	147	0	1833	201	159	0	126	0	1197	216	1137	162	0	0	720	0	570	0	423	222	207	633	0	1530	996	741	282	186	240	573	1821	0	192	0	0	0	75	1554	183	1485	321	378	0	618	0	0	0	693	177	0	0	0	0	0	0	1482	1218	0	0	1350	234	639	237	0	0	111	0	219	1593	270	309	1713	0	873	0	0	759	0	0	96	0	0	0	0	1887	267	0	768	243	0	0	0	0	1770	540	699	432	357	0	270	0	210	0	0	1458	267	0	1047	0	0	267	0	687	522	405	0	0	0	1539	291	0	0	126	0	171	735	411	0	303	534	504	504	966	405	0	138	240	366	999	0	0	0	0	252	0	900	429	120	0	0	1113	96	852	0	0	0	873	1383	0	0	0	156	1296	525	129	0	117	0	132	330	147	2250	0	423	0	102	318	0	0	0	0	0	0	909	225	0	0	0	543	414	1086	342	1059	0	462	1590	0	156	201	351	0	0	771	753	408	0	549	0	675	663	0	0	456	1629	0	0	0	825	282	267	180	129	0	435	834	1197	0
SRR10185804	1194	252	0	489	282	0	0	0	0	171	0	0	0	255	402	0	0	0	258	0	0	0	855	384	117	1443	372	0	156	0	117	336	657	114	675	501	828	168	0	0	0	72	0	210	0	0	3804	0	0	0	0	702	0	0	375	0	0	0	0	633	0	78	0	783	957	0	366	159	123	903	0	162	0	0	231	0	0	153	141	0	783	0	192	198	420	687	1164	384	0	0	1020	198	300	2031	282	189	138	0	0	297	0	0	0	0	939	285	129	744	0	558	1380	495	495	1062	1350	363	0	129	321	1743	204	207	177	0	549	1320	0	1761	1017	0	0	0	540	852	0	924	813	309	141	0	0	0	0	0	0	0	0	2103	306	0	2367	318	309	0	288	0	0	147	0	1827	201	159	0	126	0	1485	219	738	159	0	0	1077	0	459	0	423	222	207	615	0	1530	996	1227	282	273	240	687	921	0	186	0	0	0	75	1554	183	1485	321	378	0	618	0	0	0	681	177	0	0	0	0	0	0	1482	762	0	162	1350	234	1011	237	0	0	111	0	321	1599	267	309	1713	0	2082	0	0	765	0	0	96	0	0	0	0	1869	267	0	768	243	0	0	0	198	1770	543	714	432	357	0	270	0	210	0	0	1455	306	0	1065	0	0	267	0	696	522	405	0	0	0	1683	291	0	0	126	0	171	735	432	0	630	534	774	747	966	456	0	138	345	366	996	0	0	0	0	252	0	900	432	123	0	0	1200	90	852	0	0	0	942	1281	0	0	0	156	1296	990	129	0	117	0	129	333	147	2250	0	423	0	102	318	0	0	0	0	0	0	1398	225	0	0	0	543	414	1086	705	1365	192	459	1590	0	156	201	477	0	0	795	750	591	0	537	0	831	663	0	0	456	1512	0	183	0	825	303	267	180	129	0	849	834	1197	0
SRR10185805	918	246	0	489	282	0	0	0	0	171	0	0	0	222	402	0	0	0	258	0	0	0	249	384	117	1443	372	0	156	0	117	336	657	114	492	375	828	168	0	0	0	96	0	210	0	0	3807	0	0	0	0	663	0	0	375	0	0	0	0	462	0	0	0	570	957	0	228	108	117	903	0	162	0	0	231	0	0	153	132	0	786	0	192	198	378	687	1164	384	0	0	1020	159	300	2031	252	189	138	0	0	492	0	0	0	0	939	285	129	744	0	558	1380	300	375	1062	1023	363	0	129	321	1743	204	207	156	0	549	1320	0	1347	1017	0	0	0	540	438	0	924	813	159	141	0	0	0	0	0	0	0	0	2103	309	0	2367	318	210	0	288	0	0	147	0	1341	201	159	0	126	0	1494	219	1137	159	0	0	780	0	222	0	423	222	207	615	0	1530	996	717	264	186	240	507	1812	0	186	0	0	0	75	1554	183	1485	321	369	0	618	0	0	0	681	177	0	0	0	0	0	0	1482	750	0	0	1350	234	639	237	0	0	111	0	219	1599	267	309	879	0	873	0	0	765	0	81	129	0	0	0	0	1869	267	0	768	243	0	0	0	0	1770	543	714	432	357	0	270	0	210	0	0	1455	216	0	1062	0	0	267	0	696	522	405	0	0	0	1539	291	0	0	126	0	171	735	432	0	630	369	504	507	966	405	0	105	345	366	996	0	0	0	0	252	0	900	234	72	0	0	1197	90	852	0	0	0	945	1392	0	0	0	156	1287	525	129	0	117	0	0	330	147	1164	0	327	0	102	318	0	0	0	0	0	0	912	225	0	0	0	543	387	1086	342	1059	0	462	1590	0	156	201	477	0	0	795	756	213	0	537	0	675	663	0	0	456	1128	0	183	0	825	276	267	180	129	0	435	834	1197	0
SRR10185806	912	249	0	492	282	0	0	0	0	171	0	0	0	396	402	0	0	0	258	0	0	0	852	381	120	1443	372	0	156	0	117	336	744	114	387	387	567	168	0	0	0	93	138	198	0	0	1050	0	0	0	0	1530	0	0	375	0	0	0	0	462	0	114	0	426	957	114	363	186	120	378	0	162	0	0	231	0	0	153	141	0	786	258	225	99	237	687	1143	387	0	0	399	0	300	1488	327	189	138	0	0	492	0	0	0	0	615	285	129	771	0	594	900	303	486	549	687	363	0	129	321	1365	0	204	177	0	549	738	0	675	1617	0	0	0	540	852	0	486	786	309	141	0	0	0	0	180	0	0	189	1164	261	0	594	183	309	0	288	0	0	126	114	1053	201	162	0	126	0	825	219	1137	159	0	0	807	0	447	0	399	222	207	615	0	1533	978	570	279	183	240	351	1800	0	189	0	0	0	186	513	183	900	228	384	0	390	0	0	0	687	177	0	216	0	0	0	0	882	1227	0	0	651	234	615	237	117	0	111	0	267	1023	267	309	1311	0	780	0	0	771	0	198	129	0	0	0	141	1887	267	0	495	243	0	0	0	0	1104	294	720	432	351	0	270	156	210	0	0	1458	246	0	1053	0	0	267	0	684	519	405	0	0	0	765	291	0	0	126	0	171	408	426	0	303	528	774	516	975	222	0	138	345	300	486	0	0	0	192	252	0	450	432	72	0	0	1200	189	792	0	0	0	510	951	0	0	0	156	909	990	129	0	120	0	93	333	0	777	0	423	0	108	318	0	0	0	0	0	0	885	228	0	0	0	606	276	702	336	1365	0	453	801	0	156	201	477	0	0	792	750	390	0	597	0	831	663	0	0	345	981	0	183	339	789	519	267	180	129	0	543	807	1197	87
